Station Id,Station,Précédent,Suivant,Temps entre 2 stations,Temps de Changement
1,Porte Maillot,,Argentine,0.0,
2,Argentine,Porte Maillot,Charles de Gaulle - Etoile,3.0,
3,Charles de Gaulle - Etoile,Argentine,George V,2.0,3.0
4,George V,Charles de Gaulle - Etoile,Franklin D. Roosevelt,3.0,
5,Franklin D. Roosevelt,George V,Champs-Elysées - Clemenceau,2.0,3.0
6,Champs-Elysées - Clemenceau,Franklin D. Roosevelt,Concorde,3.0,3.0
7,Concorde,Champs-Elysées - Clemenceau,Tuileries,2.0,3.0
8,Tuileries,Concorde,Palais Royal - Musée du Louvre,4.0,
9,Palais Royal - Musée du Louvre,Tuileries,Louvre - Rivoli,2.0,2.0
10,Louvre - Rivoli,Palais Royal - Musée du Louvre,Châtelet,3.0,
11,Châtelet,Louvre - Rivoli,Hôtel de Ville,2.0,5.0
12,Hôtel de Ville,Châtelet,Saint-Paul (Le Marais),3.0,2.0
13,Saint-Paul (Le Marais),Hôtel de Ville,Bastille,2.0,
14,Bastille,Saint-Paul (Le Marais),Gare de Lyon,4.0,2.0
15,Gare de Lyon,Bastille,Reuilly - Diderot,2.0,4.0
16,Reuilly - Diderot,Gare de Lyon,Nation,2.0,2.0
17,Nation,Reuilly - Diderot,Porte de Vincennes,2.0,3.0
18,Porte de Vincennes,Nation,Château de Vincennes,2.0,2.0
19,Château de Vincennes,Porte de Vincennes,Porte Dauphine,1.0,
20,Porte Dauphine,Château de Vincennes,Victor Hugo,0.0,
21,Victor Hugo,Porte Dauphine,Charles de Gaulle - Etoile,2.0,
22,Charles de Gaulle - Etoile,Victor Hugo,Ternes,1.0,3.0
23,Ternes,Charles de Gaulle - Etoile,Courcelles,2.0,
24,Courcelles,Ternes,Monceau,1.0,
25,Monceau,Courcelles,Villiers,2.0,
26,Villiers,Monceau,Rome,1.0,2.0
27,Rome,Villiers,Place de Clichy,3.0,
28,Place de Clichy,Rome,Blanche,2.0,2.0
29,Blanche,Place de Clichy,Pigalle,1.0,
30,Pigalle,Blanche,Anvers,2.0,2.0
31,Anvers,Pigalle,Barbès - Rochechouart,3.0,
32,Barbès - Rochechouart,Anvers,La Chapelle,2.0,2.0
33,La Chapelle,Barbès - Rochechouart,Stalingrad,5.0,3.0
34,Stalingrad,La Chapelle,Jaurès,2.0,2.0
35,Jaurès,Stalingrad,Colonel Fabien,2.0,2.0
36,Colonel Fabien,Jaurès,Belleville,2.0,
37,Belleville,Colonel Fabien,Couronnes,2.0,2.0
38,Couronnes,Belleville,Ménilmontant,2.0,
39,Ménilmontant,Couronnes,Père Lachaise,1.0,
40,Père Lachaise,Ménilmontant,Philippe Auguste,1.0,2.0
41,Philippe Auguste,Père Lachaise,Alexandre Dumas,1.0,
42,Alexandre Dumas,Philippe Auguste,Avron,2.0,
43,Avron,Alexandre Dumas,Nation,1.0,
44,Nation,Avron,Porte de Champerret,2.0,3.0
45,Porte de Champerret,Nation,Pereire,2.0,
46,Pereire,Porte de Champerret,Wagram,2.0,1.0
47,Wagram,Pereire,Malesherbes,1.0,
48,Malesherbes,Wagram,Villiers,1.0,
49,Villiers,Malesherbes,Europe,3.0,2.0
50,Europe,Villiers,Saint-Lazare,2.0,
51,Saint-Lazare,Europe,Havre-Caumartin,1.0,4.0
52,Havre-Caumartin,Saint-Lazare,Opéra,1.0,2.0
53,Opéra,Havre-Caumartin,Quatre Septembre,3.0,
54,Quatre Septembre,Opéra,Bourse,2.0,2.0
55,Bourse,Quatre Septembre,Sentier,2.0,
56,Sentier,Bourse,Réaumur - Sébastopol,2.0,
57,Réaumur - Sébastopol,Sentier,Arts et Métiers,2.0,2.0
58,Arts et Métiers,Réaumur - Sébastopol,Temple,2.0,2.0
59,Temple,Arts et Métiers,République,3.0,
60,République,Temple,Parmentier,1.0,3.0
61,Parmentier,République,Rue Saint-Maur,1.0,3.0
62,Rue Saint-Maur,Parmentier,Père Lachaise,1.0,
63,Père Lachaise,Rue Saint-Maur,Gambetta,2.0,2.0
64,Gambetta,Père Lachaise,Porte de Bagnolet,1.0,
65,Porte de Bagnolet,Gambetta,Porte des Lilas,2.0,2.0
66,Porte des Lilas,Porte de Bagnolet,Saint-Fargeau,1.0,1.0
67,Saint-Fargeau,Porte des Lilas,Pelleport,2.0,
68,Pelleport,Saint-Fargeau,Gambetta,3.0,
69,Gambetta,Pelleport,Porte de Clignancourt,3.0,
70,Porte de Clignancourt,Gambetta,Simplon,2.0,
71,Simplon,Porte de Clignancourt,Marcadet - Poissonniers,1.0,
72,Marcadet - Poissonniers,Simplon,Château Rouge,1.0,1.0
73,Château Rouge,Marcadet - Poissonniers,Barbès - Rochechouart,2.0,
74,Barbès - Rochechouart,Château Rouge,Gare du Nord,4.0,2.0
75,Gare du Nord,Barbès - Rochechouart,Gare de l'Est,3.0,4.0
76,Gare de l'Est,Gare du Nord,Château d'Eau,3.0,3.0
77,Château d'Eau,Gare de l'Est,Strasbourg - Saint-Denis,2.0,
78,Strasbourg - Saint-Denis,Château d'Eau,Réaumur - Sébastopol,1.0,2.0
79,Réaumur - Sébastopol,Strasbourg - Saint-Denis,Etienne Marcel,2.0,2.0
80,Etienne Marcel,Réaumur - Sébastopol,Les Halles,1.0,
81,Les Halles,Etienne Marcel,Châtelet,2.0,3.0
82,Châtelet,Les Halles,Cité,1.0,5.0
83,Cité,Châtelet,Saint-Michel,3.0,
84,Saint-Michel,Cité,Odéon,1.0,1.0
85,Odéon,Saint-Michel,Saint-Germain-des-Prés,2.0,1.0
86,Saint-Germain-des-Prés,Odéon,Saint-Sulpice,1.0,
87,Saint-Sulpice,Saint-Germain-des-Prés,Saint-Placide,3.0,
88,Saint-Placide,Saint-Sulpice,Montparnasse Bienvenue,1.0,
89,Montparnasse Bienvenue,Saint-Placide,Vavin,2.0,4.0
90,Vavin,Montparnasse Bienvenue,Raspail,1.0,
91,Raspail,Vavin,Denfert-Rochereau,2.0,2.0
92,Denfert-Rochereau,Raspail,Mouton-Duvernet,1.0,1.0
93,Mouton-Duvernet,Denfert-Rochereau,Alésia,1.0,
94,Alésia,Mouton-Duvernet,Porte d'Orléans,2.0,
95,Porte d'Orléans,Alésia,Porte de Pantin,1.0,2.0
96,Porte de Pantin,Porte d'Orléans,Ourcq,2.0,2.0
97,Ourcq,Porte de Pantin,Laumière,1.0,
98,Laumière,Ourcq,Jaurès,2.0,
99,Jaurès,Laumière,Stalingrad,1.0,2.0
100,Stalingrad,Jaurès,Gare du Nord,2.0,2.0
101,Gare du Nord,Stalingrad,Gare de l'Est,2.0,4.0
102,Gare de l'Est,Gare du Nord,Jacques Bonsergent,2.0,3.0
103,Jacques Bonsergent,Gare de l'Est,République,2.0,
104,République,Jacques Bonsergent,Oberkampf,1.0,3.0
105,Oberkampf,République,Richard-Lenoir,1.0,1.0
106,Richard-Lenoir,Oberkampf,Bréguet-Sabin,3.0,
107,Bréguet-Sabin,Richard-Lenoir,Bastille,3.0,
108,Bastille,Bréguet-Sabin,Quai de la Rapée,1.0,2.0
109,Quai de la Rapée,Bastille,Gare d'Austerlitz,2.0,
110,Gare d'Austerlitz,Quai de la Rapée,Saint-Marcel,1.0,3.0
111,Saint-Marcel,Gare d'Austerlitz,Campo-Formio,3.0,
112,Campo-Formio,Saint-Marcel,Place d'Italie,1.0,
113,Place d'Italie,Campo-Formio,Charles de Gaulle - Etoile,2.0,3.0
114,Charles de Gaulle - Etoile,Place d'Italie,Kléber,1.0,3.0
115,Kléber,Charles de Gaulle - Etoile,Boissière,2.0,
116,Boissière,Kléber,Trocadéro,1.0,
117,Trocadéro,Boissière,Passy,2.0,2.0
118,Passy,Trocadéro,Bir-Hakeim,1.0,
119,Bir-Hakeim,Passy,Dupleix,2.0,2.0
120,Dupleix,Bir-Hakeim,La Motte-Picquet - Grenelle,1.0,
121,La Motte-Picquet - Grenelle,Dupleix,Cambronne,2.0,2.0
122,Cambronne,La Motte-Picquet - Grenelle,Sèvres-Lecourbe,1.0,
123,Sèvres-Lecourbe,Cambronne,Pasteur,3.0,
124,Pasteur,Sèvres-Lecourbe,Montparnasse Bienvenue,2.0,2.0
125,Montparnasse Bienvenue,Pasteur,Edgar Quinet,2.0,4.0
126,Edgar Quinet,Montparnasse Bienvenue,Raspail,4.0,
127,Raspail,Edgar Quinet,Denfert-Rochereau,2.0,2.0
128,Denfert-Rochereau,Raspail,Saint-Jacques,1.0,2.0
129,Saint-Jacques,Denfert-Rochereau,Glacière,2.0,
130,Glacière,Saint-Jacques,Corvisart,1.0,
131,Corvisart,Glacière,Place d'Italie,2.0,
132,Place d'Italie,Corvisart,Nationale,3.0,2.0
133,Nationale,Place d'Italie,Chevaleret,2.0,
134,Chevaleret,Nationale,Quai de la Gare,1.0,
135,Quai de la Gare,Chevaleret,Bercy,2.0,
136,Bercy,Quai de la Gare,Dugommier,1.0,1.0
137,Dugommier,Bercy,Daumesnil,2.0,
138,Daumesnil,Dugommier,Bel-Air,1.0,1.0
139,Bel-Air,Daumesnil,Picpus,2.0,
140,Picpus,Bel-Air,Nation,3.0,
141,Nation,Picpus,Porte de la Villette,3.0,3.0
142,Porte de la Villette,Nation,Corentin Cariou,3.0,
143,Corentin Cariou,Porte de la Villette,Crimée,2.0,
144,Crimée,Corentin Cariou,Riquet,4.0,
145,Riquet,Crimée,Stalingrad,2.0,
146,Stalingrad,Riquet,Louis Blanc,1.0,2.0
147,Louis Blanc,Stalingrad,Château Landon,2.0,2.0
